id,age,side,alcohol,age_weight,side_weight,alcohol_weight
8,20,Невеста,FALSE,1,1,"0,2"
12,20,Невеста,TRUE,1,1,"0,2"
13,20,Невеста,FALSE,1,1,"0,2"
14,20,Невеста,TRUE,1,1,"0,2"
21,20,Жених,TRUE,1,1,"0,2"
23,20,Жених,TRUE,1,1,"0,2"
24,20,Жених,FALSE,1,1,"0,2"
31,20,Невеста,FALSE,1,1,"0,2"
46,20,Невеста,FALSE,1,1,"0,2"
49,20,Невеста,FALSE,1,1,"0,2"
15,30,Жених,TRUE,1,1,"0,2"
2,30,Невеста,FALSE,1,1,"0,2"
3,30,Невеста,TRUE,1,1,"0,2"
4,30,Невеста,TRUE,1,1,"0,2"
6,30,Невеста,TRUE,1,1,"0,2"
9,30,Невеста,TRUE,1,1,"0,2"
10,30,Невеста,TRUE,1,1,"0,2"
16,30,Жених,FALSE,1,1,"0,2"
17,30,Жених,TRUE,1,1,"0,2"
20,30,Жених,TRUE,1,1,"0,2"
26,30,Невеста,FALSE,1,1,"0,2"
32,30,Жених,TRUE,1,1,"0,2"
33,30,Жених,TRUE,1,1,"0,2"
36,30,Жених,TRUE,1,1,"0,2"
42,30,Невеста,TRUE,1,1,"0,2"
56,30,Жених,TRUE,1,1,"0,2"
57,30,Жених,TRUE,1,1,"0,2"
58,30,Жених,TRUE,1,1,"0,2"
59,30,Жених,TRUE,1,1,"0,2"
1,40,Невеста,FALSE,1,1,"0,2"
11,40,Невеста,TRUE,1,1,"0,2"
27,40,Невеста,TRUE,1,1,"0,2"
30,40,Невеста,TRUE,1,1,"0,2"
34,40,Невеста,FALSE,1,1,"0,2"
37,40,Невеста,TRUE,1,1,"0,2"
25,40,Невеста,TRUE,1,1,"0,2"
38,50,Жених,TRUE,1,1,"0,2"
39,50,Жених,TRUE,1,1,"0,2"
50,50,Жених,TRUE,1,1,"0,2"
51,50,Жених,TRUE,1,1,"0,2"
5,50,Невеста,FALSE,1,1,"0,2"
7,50,Невеста,TRUE,1,1,"0,2"
18,50,Жених,TRUE,1,1,"0,2"
19,50,Жених,TRUE,1,1,"0,2"
22,50,Жених,TRUE,1,1,"0,2"
28,50,Жених,TRUE,1,1,"0,2"
29,50,Жених,TRUE,1,1,"0,2"
40,50,Невеста,TRUE,1,1,"0,2"
41,50,Невеста,TRUE,1,1,"0,2"
35,50,Жених,TRUE,1,1,"0,2"
45,50,Невеста,TRUE,1,1,"0,2"
43,80,Невеста,TRUE,1,1,"0,2"
44,80,Невеста,TRUE,1,1,"0,2"
47,80,Невеста,TRUE,1,1,"0,2"
48,80,Невеста,TRUE,1,1,"0,2"
52,80,Жених,TRUE,1,1,"0,2"
53,80,Жених,TRUE,1,1,"0,2"
54,80,Жених,TRUE,1,1,"0,2"
55,80,Жених,TRUE,1,1,"0,2"
